#item,x,y,width,height,label
0,287.0,755.0,57.0,59.0,1
1,141.0,493.0,40.0,41.0,1
2,181.0,414.0,47.0,69.0,1
3,682.0,255.0,48.0,53.0,1
4,256.0,379.0,57.0,48.0,1
5,0.0,827.0,71.0,51.0,1
6,461.0,226.0,145.0,51.0,1
7,890.0,519.0,107.0,179.0,1
8,925.0,728.0,49.0,70.0,1
9,3.0,676.0,67.0,55.0,1
10,817.0,351.0,58.0,59.0,1
11,732.0,802.0,55.0,54.0,1
12,950.0,281.0,51.0,61.0,1
13,0.0,898.0,115.0,58.0,1
14,357.0,735.0,118.0,83.0,1
15,857.0,11.0,83.0,62.0,1
16,541.0,514.0,108.0,114.0,1
17,871.0,905.0,79.0,62.0,1
18,775.0,651.0,112.0,65.0,1
19,56.0,265.0,54.0,40.0,1
20,151.0,663.0,113.0,115.0,1
21,185.0,223.0,51.0,94.0,1
22,303.0,410.0,79.0,44.0,1
23,604.0,503.0,46.0,50.0,1
24,681.0,307.0,68.0,70.0,1
25,544.0,222.0,56.0,119.0,1
26,926.0,833.0,58.0,89.0,1
27,174.0,862.0,101.0,46.0,1
28,381.0,505.0,104.0,84.0,1
29,462.0,767.0,58.0,67.0,1
30,897.0,173.0,57.0,130.0,1
31,120.0,687.0,57.0,50.0,1
32,506.0,832.0,94.0,67.0,1
33,421.0,586.0,59.0,131.0,1
34,825.0,718.0,60.0,84.0,1
35,129.0,840.0,91.0,52.0,1
36,606.0,205.0,83.0,68.0,1
37,91.0,315.0,55.0,48.0,1
38,606.0,784.0,59.0,123.0,1
39,254.0,655.0,36.0,56.0,1
40,205.0,463.0,67.0,59.0,1
41,759.0,139.0,52.0,78.0,1
42,813.0,866.0,63.0,55.0,1
43,949.0,459.0,67.0,76.0,1
44,569.0,467.0,53.0,64.0,1
45,272.0,924.0,106.0,58.0,1
