#item,x,y,width,height,label
0,742.0,715.0,128.0,82.0,1
1,719.0,20.0,166.0,128.0,1
2,747.0,245.0,146.0,62.0,1
3,611.0,834.0,75.0,72.0,1
4,611.0,135.0,128.0,131.0,1
5,878.0,552.0,117.0,49.0,1
6,962.0,865.0,61.0,37.0,1
7,598.0,390.0,64.0,107.0,1
8,885.0,176.0,90.0,156.0,1
9,587.0,43.0,110.0,112.0,1
10,687.0,865.0,102.0,90.0,1
11,605.0,1.0,77.0,69.0,1
12,691.0,2.0,77.0,71.0,1
13,761.0,933.0,88.0,53.0,1
14,737.0,171.0,118.0,97.0,1
15,695.0,452.0,86.0,56.0,1
16,942.0,312.0,82.0,54.0,1
17,759.0,340.0,119.0,104.0,1
18,743.0,577.0,89.0,58.0,1
19,609.0,524.0,159.0,121.0,1
20,458.0,43.0,71.0,66.0,1
21,872.0,2.0,152.0,182.0,1
22,542.0,43.0,72.0,95.0,1
23,739.0,971.0,115.0,52.0,1
