#item,x,y,width,height,label
0,871.0,705.0,66.0,83.0,1
1,299.0,710.0,86.0,68.0,1
2,153.0,893.0,92.0,64.0,1
3,909.0,847.0,54.0,60.0,1
4,668.0,0.0,100.0,81.0,1
5,363.0,639.0,60.0,64.0,1
6,423.0,854.0,100.0,79.0,1
7,59.0,618.0,76.0,60.0,1
8,940.0,382.0,81.0,51.0,1
9,604.0,733.0,159.0,95.0,1
10,0.0,649.0,49.0,87.0,1
11,526.0,67.0,63.0,66.0,1
12,39.0,46.0,110.0,92.0,1
13,329.0,848.0,71.0,59.0,1
14,559.0,845.0,65.0,81.0,1
15,198.0,452.0,164.0,67.0,1
16,822.0,402.0,72.0,71.0,1
17,27.0,985.0,69.0,39.0,1
18,919.0,463.0,105.0,74.0,1
19,617.0,263.0,101.0,87.0,1
20,0.0,0.0,48.0,64.0,1
21,232.0,146.0,70.0,62.0,1
22,848.0,935.0,93.0,65.0,1
23,763.0,446.0,108.0,71.0,1
24,0.0,855.0,75.0,113.0,1
25,563.0,798.0,79.0,72.0,1
26,23.0,583.0,63.0,56.0,1
27,852.0,482.0,55.0,90.0,1
28,863.0,314.0,63.0,71.0,1
29,908.0,49.0,72.0,66.0,1
30,489.0,471.0,97.0,92.0,1
31,355.0,0.0,47.0,55.0,1
32,425.0,302.0,49.0,73.0,1
33,388.0,964.0,84.0,60.0,1
34,186.0,975.0,70.0,49.0,1
35,533.0,945.0,56.0,51.0,1
36,961.0,298.0,63.0,73.0,1
37,613.0,601.0,78.0,79.0,1
38,945.0,597.0,79.0,72.0,1
39,750.0,907.0,80.0,69.0,1
40,610.0,929.0,85.0,76.0,1
41,387.0,19.0,53.0,55.0,1
42,917.0,221.0,104.0,161.0,1
43,224.0,522.0,85.0,84.0,1
44,272.0,602.0,78.0,82.0,1
45,580.0,0.0,76.0,37.0,1
46,912.0,664.0,109.0,78.0,1
47,320.0,82.0,61.0,82.0,1
48,620.0,83.0,74.0,73.0,1
49,508.0,384.0,98.0,93.0,1
50,478.0,15.0,81.0,66.0,1
51,817.0,808.0,62.0,88.0,1
52,71.0,856.0,81.0,64.0,1
