#item,x,y,width,height,label
0,542.0,966.0,68.0,57.0,1
1,874.0,501.0,57.0,65.0,1
2,808.0,0.0,43.0,55.0,1
3,584.0,95.0,50.0,103.0,1
4,823.0,784.0,71.0,60.0,1
5,782.0,814.0,38.0,45.0,1
6,945.0,3.0,79.0,97.0,1
7,313.0,94.0,86.0,127.0,1
8,680.0,533.0,57.0,80.0,1
9,871.0,689.0,60.0,78.0,1
10,647.0,936.0,53.0,66.0,1
11,632.0,817.0,50.0,72.0,1
12,571.0,838.0,53.0,56.0,1
13,418.0,808.0,106.0,87.0,1
14,573.0,381.0,84.0,123.0,1
15,431.0,498.0,68.0,80.0,1
16,925.0,830.0,69.0,86.0,1
17,924.0,335.0,100.0,79.0,1
18,550.0,2.0,51.0,82.0,1
19,500.0,71.0,38.0,114.0,1
20,956.0,903.0,68.0,61.0,1
21,497.0,0.0,45.0,59.0,1
22,831.0,480.0,39.0,69.0,1
23,521.0,455.0,36.0,82.0,1
24,719.0,11.0,67.0,133.0,1
25,521.0,399.0,52.0,108.0,1
26,577.0,588.0,62.0,96.0,1
27,695.0,804.0,47.0,100.0,1
28,837.0,343.0,71.0,120.0,1
29,698.0,724.0,58.0,56.0,1
30,669.0,148.0,89.0,153.0,1
31,699.0,434.0,53.0,69.0,1
32,791.0,575.0,62.0,77.0,1
33,669.0,2.0,33.0,63.0,1
