#item,x,y,width,height,label
0,863.0,728.0,139.0,126.0,1
1,468.0,509.0,76.0,95.0,1
2,546.0,283.0,73.0,63.0,1
3,903.0,340.0,79.0,78.0,1
4,844.0,212.0,104.0,57.0,1
5,154.0,324.0,100.0,89.0,1
6,0.0,347.0,44.0,78.0,1
7,212.0,617.0,76.0,66.0,1
8,354.0,135.0,82.0,93.0,1
9,47.0,329.0,80.0,85.0,1
10,890.0,970.0,121.0,54.0,1
11,627.0,919.0,104.0,72.0,1
12,449.0,927.0,89.0,97.0,1
13,635.0,494.0,77.0,78.0,1
14,823.0,24.0,127.0,94.0,1
15,956.0,478.0,68.0,75.0,1
16,419.0,26.0,119.0,79.0,1
17,549.0,803.0,117.0,75.0,1
18,127.0,822.0,93.0,74.0,1
19,617.0,202.0,118.0,150.0,1
20,684.0,402.0,126.0,76.0,1
21,0.0,417.0,33.0,86.0,1
22,326.0,530.0,103.0,93.0,1
23,234.0,190.0,71.0,100.0,1
24,0.0,897.0,64.0,127.0,1
25,385.0,235.0,97.0,66.0,1
26,829.0,522.0,93.0,68.0,1
27,195.0,698.0,85.0,67.0,1
28,649.0,572.0,102.0,69.0,1
29,557.0,94.0,100.0,99.0,1
30,256.0,867.0,87.0,152.0,1
31,661.0,0.0,108.0,145.0,1
32,856.0,138.0,94.0,68.0,1
33,590.0,887.0,68.0,72.0,1
34,971.0,217.0,53.0,63.0,1
35,0.0,187.0,81.0,66.0,1
36,82.0,425.0,105.0,116.0,1
37,400.0,377.0,86.0,68.0,1
38,355.0,337.0,74.0,56.0,1
39,372.0,56.0,81.0,86.0,1
40,59.0,964.0,87.0,60.0,1
