#item,x,y,width,height,label
0,453.0,299.0,76.0,46.0,1
1,693.0,693.0,131.0,105.0,1
2,453.0,542.0,115.0,62.0,1
3,627.0,445.0,105.0,54.0,1
4,363.0,221.0,105.0,30.0,1
5,547.0,604.0,123.0,69.0,1
6,94.0,61.0,98.0,50.0,1
7,645.0,888.0,148.0,115.0,1
8,168.0,276.0,123.0,74.0,1
9,343.0,294.0,128.0,74.0,1
10,407.0,614.0,143.0,82.0,1
11,898.0,209.0,113.0,100.0,1
12,665.0,785.0,143.0,72.0,1
13,212.0,937.0,133.0,87.0,1
14,280.0,462.0,90.0,31.0,1
15,908.0,481.0,116.0,79.0,1
16,581.0,693.0,107.0,72.0,1
17,527.0,258.0,136.0,87.0,1
18,57.0,621.0,59.0,47.0,1
19,821.0,17.0,195.0,75.0,1
20,558.0,535.0,64.0,58.0,1
21,273.0,145.0,100.0,39.0,1
22,309.0,839.0,100.0,80.0,1
23,432.0,0.0,118.0,30.0,1
24,455.0,363.0,131.0,67.0,1
25,481.0,202.0,110.0,71.0,1
26,727.0,115.0,135.0,43.0,1
27,38.0,345.0,92.0,59.0,1
28,706.0,363.0,128.0,74.0,1
29,701.0,279.0,87.0,46.0,1
30,0.0,596.0,33.0,77.0,1
31,867.0,343.0,136.0,74.0,1
32,739.0,527.0,215.0,107.0,1
33,709.0,151.0,135.0,58.0,1
34,642.0,533.0,118.0,69.0,1
35,729.0,478.0,131.0,46.0,1
36,791.0,230.0,130.0,54.0,1
37,355.0,529.0,103.0,64.0,1
38,309.0,480.0,119.0,41.0,1
39,290.0,548.0,92.0,80.0,1
40,192.0,330.0,87.0,79.0,1
41,492.0,771.0,75.0,48.0,1
42,770.0,0.0,149.0,51.0,1
43,721.0,643.0,145.0,53.0,1
44,463.0,409.0,141.0,62.0,1
45,760.0,66.0,143.0,46.0,1
46,0.0,747.0,89.0,33.0,1
47,652.0,104.0,113.0,77.0,1
48,390.0,178.0,120.0,45.0,1
49,330.0,134.0,111.0,56.0,1
50,34.0,497.0,84.0,64.0,1
