#item,x,y,width,height,label
0,621.0,56.0,93.0,108.0,1
1,851.0,0.0,68.0,40.0,1
2,328.0,258.0,65.0,51.0,1
3,777.0,347.0,62.0,54.0,1
4,278.0,238.0,93.0,191.0,1
5,38.0,811.0,85.0,112.0,1
6,826.0,247.0,104.0,131.0,1
7,714.0,493.0,93.0,160.0,1
8,36.0,695.0,101.0,69.0,1
9,82.0,890.0,99.0,49.0,1
10,9.0,454.0,51.0,73.0,1
11,8.0,530.0,65.0,150.0,1
12,30.0,206.0,63.0,47.0,1
13,198.0,828.0,97.0,65.0,1
14,865.0,535.0,102.0,141.0,1
15,791.0,846.0,47.0,48.0,1
16,885.0,0.0,131.0,45.0,1
17,983.0,779.0,41.0,45.0,1
18,0.0,922.0,64.0,67.0,1
19,567.0,116.0,72.0,90.0,1
20,191.0,643.0,63.0,78.0,1
21,200.0,287.0,58.0,45.0,1
22,758.0,800.0,92.0,60.0,1
23,70.0,71.0,65.0,82.0,1
24,770.0,168.0,79.0,135.0,1
25,0.0,331.0,32.0,143.0,1
26,564.0,907.0,139.0,117.0,1
27,425.0,471.0,71.0,96.0,1
28,754.0,630.0,115.0,61.0,1
29,743.0,845.0,136.0,166.0,1
30,0.0,317.0,51.0,73.0,1
31,316.0,550.0,72.0,93.0,1
32,27.0,0.0,67.0,133.0,1
33,1.0,996.0,95.0,28.0,1
34,920.0,634.0,71.0,72.0,1
35,1.0,61.0,54.0,103.0,1
36,484.0,571.0,131.0,87.0,1
37,795.0,681.0,60.0,72.0,1
38,0.0,879.0,26.0,62.0,1
39,433.0,29.0,112.0,131.0,1
40,63.0,550.0,111.0,67.0,1
41,384.0,930.0,87.0,94.0,1
42,646.0,948.0,74.0,76.0,1
43,101.0,201.0,101.0,120.0,1
44,851.0,867.0,76.0,63.0,1
45,476.0,976.0,59.0,47.0,1
46,367.0,322.0,126.0,63.0,1
47,310.0,731.0,51.0,50.0,1
48,129.0,174.0,87.0,79.0,1
49,249.0,798.0,142.0,86.0,1
50,613.0,836.0,64.0,64.0,1
51,361.0,748.0,80.0,196.0,1
