#item,x,y,width,height,label
0,328.0,951.0,69.0,65.0,1
1,510.0,526.0,66.0,50.0,1
2,516.0,584.0,72.0,65.0,1
3,22.0,630.0,112.0,77.0,1
4,223.0,883.0,89.0,86.0,1
5,346.0,844.0,159.0,69.0,1
6,534.0,12.0,71.0,57.0,1
7,155.0,489.0,69.0,86.0,1
8,956.0,367.0,57.0,77.0,1
9,204.0,771.0,53.0,96.0,1
10,418.0,10.0,81.0,53.0,1
11,865.0,302.0,103.0,62.0,1
12,772.0,265.0,122.0,55.0,1
13,448.0,403.0,78.0,67.0,1
14,792.0,652.0,81.0,92.0,1
15,313.0,444.0,119.0,60.0,1
16,515.0,120.0,75.0,57.0,1
17,28.0,954.0,71.0,70.0,1
18,831.0,120.0,84.0,49.0,1
19,140.0,787.0,42.0,50.0,1
20,678.0,992.0,94.0,32.0,1
21,945.0,578.0,79.0,88.0,1
22,166.0,706.0,59.0,87.0,1
23,983.0,852.0,41.0,44.0,1
24,668.0,97.0,71.0,68.0,1
25,971.0,481.0,53.0,66.0,1
26,225.0,448.0,76.0,115.0,1
27,430.0,753.0,94.0,88.0,1
28,775.0,334.0,62.0,64.0,1
29,983.0,283.0,41.0,55.0,1
30,325.0,620.0,71.0,66.0,1
31,22.0,387.0,115.0,72.0,1
32,317.0,557.0,74.0,58.0,1
33,432.0,653.0,92.0,71.0,1
34,289.0,730.0,104.0,76.0,1
35,382.0,912.0,63.0,65.0,1
36,581.0,124.0,83.0,68.0,1
37,641.0,41.0,74.0,72.0,1
38,0.0,0.0,55.0,118.0,1
39,573.0,983.0,83.0,41.0,1
40,795.0,433.0,126.0,96.0,1
41,916.0,124.0,108.0,60.0,1
42,0.0,546.0,57.0,80.0,1
43,774.0,977.0,153.0,47.0,1
44,145.0,992.0,94.0,32.0,1
45,733.0,844.0,76.0,109.0,1
46,599.0,881.0,60.0,67.0,1
47,102.0,715.0,42.0,59.0,1
48,156.0,681.0,95.0,56.0,1
49,373.0,157.0,96.0,146.0,1
50,626.0,222.0,98.0,91.0,1
51,899.0,64.0,125.0,51.0,1
52,512.0,982.0,55.0,42.0,1
53,583.0,754.0,78.0,68.0,1
54,915.0,676.0,109.0,73.0,1
55,49.0,787.0,56.0,72.0,1
56,1.0,453.0,120.0,72.0,1
57,498.0,436.0,87.0,59.0,1
58,703.0,414.0,87.0,54.0,1
59,0.0,263.0,54.0,125.0,1
