#item,x,y,width,height,label
0,211.0,349.0,91.0,62.0,1
1,783.0,726.0,71.0,111.0,1
2,965.0,350.0,59.0,92.0,1
3,1.0,89.0,137.0,89.0,1
4,227.0,158.0,73.0,79.0,1
5,144.0,197.0,71.0,56.0,1
6,289.0,965.0,91.0,59.0,1
7,887.0,470.0,58.0,67.0,1
8,132.0,272.0,86.0,58.0,1
9,588.0,953.0,81.0,71.0,1
10,888.0,253.0,63.0,77.0,1
11,417.0,490.0,83.0,80.0,1
12,0.0,750.0,39.0,78.0,1
13,912.0,620.0,63.0,77.0,1
14,122.0,938.0,119.0,77.0,1
15,16.0,854.0,131.0,88.0,1
16,696.0,983.0,74.0,41.0,1
17,283.0,301.0,77.0,85.0,1
18,199.0,605.0,121.0,90.0,1
19,740.0,92.0,69.0,65.0,1
20,665.0,152.0,74.0,75.0,1
21,822.0,546.0,81.0,69.0,1
22,770.0,330.0,80.0,79.0,1
23,29.0,557.0,130.0,75.0,1
24,172.0,342.0,95.0,128.0,1
25,472.0,968.0,102.0,56.0,1
26,593.0,309.0,82.0,41.0,1
27,884.0,891.0,77.0,79.0,1
28,407.0,41.0,85.0,75.0,1
29,40.0,434.0,124.0,67.0,1
30,748.0,185.0,75.0,69.0,1
31,565.0,267.0,94.0,78.0,1
32,655.0,0.0,85.0,74.0,1
33,763.0,667.0,85.0,53.0,1
34,234.0,678.0,100.0,75.0,1
35,496.0,7.0,90.0,77.0,1
36,919.0,724.0,61.0,81.0,1
