#item,x,y,width,height,label
0,361.0,433.0,63.0,65.0,1
1,469.0,358.0,100.0,91.0,1
2,238.0,791.0,91.0,81.0,1
3,349.0,86.0,62.0,92.0,1
4,234.0,501.0,72.0,72.0,1
5,0.0,2.0,84.0,69.0,1
6,397.0,654.0,93.0,52.0,1
7,935.0,539.0,83.0,90.0,1
8,639.0,669.0,118.0,83.0,1
9,901.0,256.0,75.0,68.0,1
10,622.0,883.0,99.0,51.0,1
11,361.0,929.0,58.0,70.0,1
12,607.0,385.0,121.0,45.0,1
13,227.0,135.0,42.0,58.0,1
14,435.0,541.0,97.0,95.0,1
15,918.0,176.0,66.0,46.0,1
16,684.0,2.0,103.0,69.0,1
17,44.0,51.0,61.0,98.0,1
18,452.0,80.0,113.0,87.0,1
19,609.0,426.0,64.0,37.0,1
20,629.0,153.0,169.0,81.0,1
