#item,x,y,width,height,label
0,254.0,0.0,112.0,34.0,1
1,301.0,944.0,90.0,80.0,1
2,977.0,671.0,47.0,100.0,1
3,625.0,733.0,126.0,63.0,1
4,331.0,159.0,72.0,79.0,1
5,806.0,176.0,77.0,76.0,1
6,614.0,343.0,65.0,49.0,1
7,326.0,588.0,125.0,56.0,1
8,781.0,927.0,65.0,59.0,1
9,466.0,145.0,112.0,73.0,1
10,302.0,49.0,75.0,68.0,1
11,121.0,390.0,96.0,66.0,1
12,152.0,180.0,120.0,63.0,1
13,513.0,353.0,56.0,38.0,1
14,270.0,862.0,88.0,72.0,1
15,761.0,94.0,73.0,72.0,1
16,307.0,388.0,54.0,57.0,1
17,867.0,950.0,102.0,74.0,1
18,140.0,319.0,67.0,42.0,1
19,0.0,126.0,96.0,69.0,1
20,185.0,249.0,80.0,64.0,1
21,182.0,320.0,75.0,73.0,1
22,222.0,152.0,120.0,66.0,1
23,364.0,738.0,138.0,216.0,1
24,454.0,700.0,127.0,66.0,1
25,463.0,256.0,176.0,62.0,1
26,602.0,209.0,59.0,63.0,1
27,939.0,40.0,65.0,57.0,1
28,182.0,980.0,111.0,44.0,1
29,711.0,303.0,70.0,57.0,1
30,0.0,545.0,86.0,74.0,1
31,61.0,790.0,151.0,126.0,1
32,445.0,0.0,107.0,54.0,1
33,555.0,123.0,64.0,71.0,1
34,611.0,977.0,93.0,47.0,1
35,782.0,411.0,70.0,62.0,1
36,430.0,417.0,73.0,80.0,1
37,376.0,314.0,105.0,79.0,1
38,862.0,501.0,72.0,60.0,1
39,829.0,272.0,81.0,74.0,1
40,587.0,0.0,81.0,78.0,1
41,379.0,142.0,101.0,82.0,1
42,902.0,293.0,66.0,62.0,1
43,519.0,638.0,92.0,48.0,1
44,900.0,724.0,60.0,149.0,1
45,154.0,4.0,99.0,41.0,1
46,468.0,762.0,109.0,102.0,1
47,974.0,974.0,50.0,50.0,1
48,0.0,458.0,63.0,70.0,1
49,642.0,262.0,101.0,84.0,1
50,828.0,24.0,104.0,84.0,1
