#item,x,y,width,height,label
0,283.0,885.0,107.0,65.0,1
1,317.0,237.0,78.0,41.0,1
2,229.0,169.0,42.0,47.0,1
3,384.0,0.0,189.0,48.0,1
4,78.0,63.0,52.0,59.0,1
5,427.0,463.0,51.0,80.0,1
6,58.0,832.0,64.0,89.0,1
7,935.0,223.0,89.0,51.0,1
8,246.0,746.0,66.0,52.0,1
9,716.0,745.0,72.0,33.0,1
10,77.0,428.0,87.0,41.0,1
11,580.0,283.0,63.0,90.0,1
12,655.0,941.0,82.0,63.0,1
13,927.0,123.0,96.0,46.0,1
14,175.0,235.0,47.0,30.0,1
15,129.0,15.0,65.0,41.0,1
16,42.0,358.0,55.0,42.0,1
17,147.0,519.0,85.0,66.0,1
18,742.0,732.0,69.0,28.0,1
19,774.0,693.0,86.0,49.0,1
20,261.0,405.0,63.0,61.0,1
21,33.0,967.0,54.0,54.0,1
