#item,x,y,width,height,label
0,465.0,673.0,123.0,97.0,1
1,312.0,692.0,67.0,56.0,1
2,665.0,89.0,82.0,100.0,1
3,561.0,782.0,84.0,82.0,1
4,832.0,263.0,71.0,100.0,1
5,262.0,861.0,116.0,101.0,1
6,435.0,504.0,110.0,159.0,1
7,215.0,112.0,87.0,164.0,1
8,524.0,563.0,80.0,120.0,1
9,860.0,721.0,87.0,77.0,1
10,115.0,506.0,89.0,75.0,1
11,714.0,148.0,87.0,143.0,1
12,969.0,853.0,55.0,65.0,1
13,739.0,212.0,110.0,138.0,1
14,916.0,390.0,86.0,147.0,1
15,675.0,675.0,80.0,128.0,1
16,409.0,929.0,87.0,95.0,1
17,15.0,542.0,97.0,100.0,1
18,755.0,478.0,77.0,103.0,1
19,409.0,284.0,90.0,107.0,1
20,355.0,721.0,80.0,87.0,1
21,166.0,773.0,90.0,102.0,1
22,641.0,1.0,62.0,83.0,1
23,128.0,273.0,135.0,85.0,1
24,650.0,422.0,92.0,84.0,1
25,696.0,796.0,72.0,105.0,1
26,872.0,46.0,62.0,140.0,1
27,635.0,197.0,65.0,74.0,1
28,756.0,1.0,51.0,69.0,1
29,852.0,179.0,97.0,100.0,1
30,2.0,343.0,97.0,110.0,1
31,30.0,819.0,77.0,69.0,1
32,125.0,212.0,102.0,90.0,1
33,606.0,926.0,105.0,98.0,1
34,571.0,1.0,59.0,72.0,1
35,299.0,53.0,87.0,123.0,1
36,471.0,174.0,64.0,105.0,1
37,145.0,0.0,69.0,75.0,1
38,145.0,84.0,72.0,97.0,1
39,870.0,555.0,84.0,131.0,1
40,921.0,23.0,85.0,128.0,1
