#item,x,y,width,height,label
0,432.0,562.0,119.0,63.0,1
1,950.0,285.0,74.0,106.0,1
2,269.0,198.0,113.0,94.0,1
3,225.0,309.0,97.0,60.0,1
4,802.0,453.0,118.0,74.0,1
5,404.0,311.0,51.0,65.0,1
6,163.0,39.0,75.0,134.0,1
7,773.0,854.0,143.0,77.0,1
8,836.0,953.0,65.0,71.0,1
9,58.0,334.0,81.0,89.0,1
10,490.0,111.0,93.0,101.0,1
11,23.0,0.0,69.0,55.0,1
12,916.0,916.0,80.0,100.0,1
13,603.0,210.0,98.0,77.0,1
14,960.0,130.0,64.0,78.0,1
15,359.0,238.0,93.0,61.0,1
16,688.0,707.0,93.0,82.0,1
17,419.0,737.0,71.0,66.0,1
18,152.0,245.0,73.0,83.0,1
19,271.0,123.0,57.0,83.0,1
20,505.0,740.0,80.0,68.0,1
21,165.0,750.0,81.0,66.0,1
22,393.0,141.0,77.0,75.0,1
23,504.0,841.0,75.0,67.0,1
24,962.0,454.0,62.0,111.0,1
25,496.0,894.0,87.0,91.0,1
26,71.0,815.0,101.0,85.0,1
27,881.0,688.0,93.0,95.0,1
28,686.0,866.0,68.0,102.0,1
29,742.0,0.0,193.0,161.0,1
30,639.0,982.0,118.0,42.0,1
31,391.0,66.0,95.0,60.0,1
32,281.0,758.0,88.0,72.0,1
33,695.0,489.0,123.0,104.0,1
