#item,x,y,width,height,label
0,568.0,0.0,79.0,47.0,1
1,311.0,288.0,48.0,71.0,1
2,109.0,270.0,88.0,156.0,1
3,476.0,207.0,103.0,105.0,1
4,719.0,860.0,173.0,136.0,1
5,361.0,244.0,68.0,64.0,1
6,272.0,378.0,59.0,71.0,1
7,261.0,647.0,93.0,92.0,1
8,0.0,563.0,76.0,85.0,1
9,152.0,443.0,160.0,93.0,1
10,415.0,338.0,67.0,70.0,1
11,502.0,766.0,88.0,85.0,1
12,967.0,984.0,54.0,40.0,1
13,643.0,122.0,100.0,132.0,1
14,108.0,113.0,80.0,86.0,1
15,769.0,131.0,128.0,83.0,1
16,300.0,540.0,139.0,132.0,1
17,630.0,568.0,79.0,72.0,1
18,638.0,631.0,126.0,101.0,1
19,641.0,3.0,85.0,45.0,1
20,145.0,947.0,81.0,73.0,1
21,924.0,537.0,85.0,86.0,1
22,126.0,567.0,107.0,74.0,1
23,557.0,403.0,75.0,84.0,1
24,31.0,16.0,112.0,112.0,1
25,771.0,199.0,77.0,119.0,1
26,405.0,88.0,134.0,102.0,1
27,559.0,760.0,93.0,140.0,1
28,182.0,5.0,95.0,77.0,1
29,384.0,49.0,67.0,51.0,1
30,823.0,664.0,89.0,148.0,1
31,231.0,71.0,138.0,155.0,1
32,630.0,48.0,96.0,54.0,1
33,457.0,548.0,107.0,154.0,1
34,315.0,48.0,72.0,75.0,1
35,584.0,182.0,65.0,68.0,1
