#item,x,y,width,height,label
0,76.0,484.0,102.0,51.0,1
1,711.0,968.0,55.0,56.0,1
2,328.0,844.0,135.0,142.0,1
3,640.0,122.0,67.0,65.0,1
4,974.0,286.0,50.0,36.0,1
5,239.0,57.0,60.0,72.0,1
6,839.0,928.0,114.0,92.0,1
7,135.0,226.0,66.0,90.0,1
8,48.0,664.0,88.0,54.0,1
9,558.0,360.0,69.0,58.0,1
10,239.0,237.0,175.0,71.0,1
11,223.0,21.0,56.0,36.0,1
12,925.0,132.0,98.0,62.0,1
13,352.0,0.0,50.0,35.0,1
14,264.0,943.0,51.0,56.0,1
15,700.0,243.0,87.0,92.0,1
16,238.0,701.0,123.0,64.0,1
17,795.0,240.0,60.0,75.0,1
18,834.0,522.0,139.0,83.0,1
19,124.0,913.0,113.0,44.0,1
20,129.0,135.0,87.0,72.0,1
21,186.0,143.0,61.0,56.0,1
22,730.0,81.0,84.0,78.0,1
23,60.0,310.0,69.0,94.0,1
24,521.0,874.0,80.0,66.0,1
25,16.0,175.0,95.0,120.0,1
26,784.0,977.0,53.0,47.0,1
27,473.0,451.0,73.0,95.0,1
28,459.0,166.0,92.0,120.0,1
29,626.0,190.0,57.0,57.0,1
30,408.0,782.0,57.0,54.0,1
31,26.0,535.0,83.0,72.0,1
32,308.0,776.0,47.0,36.0,1
33,335.0,379.0,55.0,72.0,1
34,696.0,807.0,58.0,131.0,1
35,417.0,494.0,66.0,180.0,1
36,297.0,790.0,98.0,60.0,1
37,143.0,23.0,61.0,70.0,1
38,598.0,891.0,67.0,89.0,1
39,760.0,314.0,65.0,54.0,1
40,501.0,955.0,94.0,68.0,1
41,465.0,58.0,67.0,57.0,1
42,370.0,966.0,45.0,57.0,1
43,686.0,363.0,67.0,51.0,1
44,370.0,337.0,67.0,51.0,1
45,13.0,777.0,92.0,38.0,1
46,0.0,88.0,39.0,60.0,1
47,550.0,260.0,46.0,56.0,1
