#item,x,y,width,height,label
0,369.0,22.0,70.0,85.0,1
1,137.0,60.0,64.0,43.0,1
2,0.0,751.0,60.0,105.0,1
3,930.0,432.0,77.0,152.0,1
4,135.0,843.0,87.0,91.0,1
5,230.0,974.0,66.0,50.0,1
6,729.0,903.0,85.0,66.0,1
7,26.0,18.0,96.0,89.0,1
8,781.0,712.0,113.0,107.0,1
9,283.0,730.0,125.0,103.0,1
10,729.0,963.0,88.0,61.0,1
11,174.0,686.0,116.0,82.0,1
12,373.0,809.0,56.0,99.0,1
13,171.0,120.0,85.0,51.0,1
14,0.0,945.0,99.0,79.0,1
15,632.0,747.0,94.0,64.0,1
16,751.0,9.0,84.0,111.0,1
17,602.0,445.0,74.0,80.0,1
18,544.0,980.0,100.0,44.0,1
19,215.0,24.0,66.0,79.0,1
20,1.0,685.0,97.0,110.0,1
21,390.0,168.0,72.0,100.0,1
22,266.0,203.0,65.0,66.0,1
23,382.0,275.0,83.0,91.0,1
24,685.0,627.0,87.0,74.0,1
25,668.0,367.0,100.0,196.0,1
26,508.0,128.0,135.0,82.0,1
27,408.0,924.0,111.0,83.0,1
28,245.0,370.0,111.0,90.0,1
29,522.0,784.0,166.0,104.0,1
30,525.0,335.0,80.0,74.0,1
31,966.0,197.0,58.0,97.0,1
32,564.0,222.0,86.0,64.0,1
33,135.0,990.0,69.0,34.0,1
34,243.0,572.0,128.0,82.0,1
35,0.0,171.0,67.0,77.0,1
36,155.0,322.0,76.0,71.0,1
37,140.0,599.0,102.0,93.0,1
38,10.0,535.0,113.0,106.0,1
