#item,x,y,width,height,label
0,521.0,201.0,77.0,51.0,1
1,2.0,432.0,93.0,67.0,1
2,871.0,464.0,104.0,111.0,1
3,662.0,0.0,60.0,66.0,1
4,270.0,819.0,94.0,49.0,1
5,74.0,411.0,51.0,44.0,1
6,9.0,127.0,56.0,113.0,1
7,20.0,302.0,73.0,57.0,1
8,844.0,878.0,94.0,81.0,1
9,762.0,152.0,87.0,118.0,1
10,612.0,777.0,83.0,66.0,1
11,345.0,680.0,63.0,40.0,1
12,407.0,493.0,92.0,49.0,1
13,679.0,502.0,73.0,56.0,1
14,353.0,300.0,49.0,32.0,1
15,685.0,660.0,79.0,53.0,1
16,708.0,71.0,55.0,62.0,1
17,902.0,878.0,52.0,59.0,1
