#item,x,y,width,height,label
0,203.0,669.0,124.0,102.0,1
1,86.0,256.0,63.0,68.0,1
2,91.0,62.0,62.0,115.0,1
3,129.0,16.0,97.0,76.0,1
4,877.0,460.0,147.0,85.0,1
5,766.0,252.0,74.0,72.0,1
6,605.0,231.0,82.0,74.0,1
7,539.0,89.0,130.0,114.0,1
8,993.0,831.0,31.0,68.0,1
9,324.0,497.0,89.0,74.0,1
10,843.0,632.0,92.0,79.0,1
11,945.0,378.0,79.0,58.0,1
12,395.0,206.0,162.0,110.0,1
13,415.0,881.0,89.0,107.0,1
14,896.0,963.0,100.0,61.0,1
15,0.0,305.0,60.0,87.0,1
16,888.0,150.0,57.0,63.0,1
17,937.0,618.0,78.0,68.0,1
18,960.0,0.0,64.0,59.0,1
19,613.0,291.0,139.0,68.0,1
20,839.0,753.0,102.0,97.0,1
21,0.0,688.0,51.0,107.0,1
22,312.0,932.0,80.0,92.0,1
23,804.0,349.0,160.0,87.0,1
24,871.0,8.0,64.0,87.0,1
25,207.0,264.0,71.0,67.0,1
26,718.0,920.0,94.0,104.0,1
27,930.0,735.0,69.0,71.0,1
28,676.0,805.0,91.0,82.0,1
29,861.0,223.0,95.0,62.0,1
30,287.0,0.0,112.0,133.0,1
31,17.0,857.0,79.0,145.0,1
32,12.0,459.0,112.0,84.0,1
33,291.0,726.0,117.0,117.0,1
34,576.0,624.0,71.0,122.0,1
35,571.0,372.0,167.0,130.0,1
36,116.0,544.0,95.0,127.0,1
37,193.0,924.0,61.0,87.0,1
38,204.0,177.0,66.0,100.0,1
39,846.0,965.0,55.0,59.0,1
40,807.0,530.0,98.0,80.0,1
41,854.0,867.0,64.0,65.0,1
42,190.0,475.0,71.0,73.0,1
