#item,x,y,width,height,label
0,406.0,192.0,108.0,75.0,1
1,66.0,181.0,69.0,67.0,1
2,263.0,55.0,43.0,51.0,1
3,865.0,716.0,112.0,67.0,1
4,891.0,890.0,74.0,60.0,1
5,683.0,0.0,136.0,28.0,1
6,962.0,0.0,62.0,64.0,1
7,2.0,79.0,72.0,61.0,1
8,113.0,628.0,99.0,86.0,1
9,39.0,571.0,72.0,59.0,1
10,743.0,821.0,36.0,44.0,1
11,766.0,115.0,95.0,146.0,1
12,244.0,270.0,100.0,97.0,1
13,662.0,524.0,81.0,79.0,1
14,683.0,66.0,87.0,102.0,1
15,954.0,752.0,70.0,95.0,1
16,929.0,861.0,91.0,62.0,1
17,210.0,816.0,52.0,41.0,1
18,220.0,24.0,41.0,62.0,1
19,198.0,345.0,32.0,37.0,1
20,698.0,424.0,77.0,85.0,1
21,487.0,643.0,94.0,86.0,1
22,586.0,735.0,63.0,98.0,1
23,792.0,203.0,120.0,78.0,1
24,643.0,371.0,85.0,83.0,1
25,560.0,916.0,110.0,108.0,1
26,650.0,613.0,59.0,74.0,1
27,916.0,471.0,77.0,89.0,1
28,156.0,117.0,117.0,100.0,1
29,791.0,371.0,94.0,87.0,1
