#item,x,y,width,height,label
0,208.0,2.0,103.0,82.0,1
1,132.0,892.0,62.0,61.0,1
2,68.0,852.0,57.0,50.0,1
3,990.0,291.0,34.0,146.0,1
4,440.0,356.0,65.0,72.0,1
5,414.0,118.0,156.0,106.0,1
6,512.0,659.0,85.0,43.0,1
7,532.0,329.0,109.0,106.0,1
8,2.0,181.0,122.0,100.0,1
9,392.0,844.0,137.0,79.0,1
10,950.0,35.0,47.0,70.0,1
11,842.0,430.0,90.0,74.0,1
12,378.0,355.0,62.0,86.0,1
13,481.0,520.0,147.0,88.0,1
14,189.0,437.0,108.0,106.0,1
15,440.0,349.0,73.0,83.0,1
16,234.0,281.0,83.0,91.0,1
17,331.0,452.0,154.0,92.0,1
18,124.0,608.0,57.0,51.0,1
19,165.0,707.0,46.0,97.0,1
20,897.0,452.0,93.0,104.0,1
21,257.0,184.0,69.0,78.0,1
22,557.0,847.0,104.0,71.0,1
23,531.0,930.0,150.0,56.0,1
24,801.0,89.0,72.0,96.0,1
25,453.0,801.0,86.0,54.0,1
