#item,x,y,width,height,label
0,724.0,207.0,84.0,74.0,1
1,421.0,179.0,121.0,77.0,1
2,657.0,0.0,153.0,120.0,1
3,130.0,104.0,85.0,74.0,1
4,543.0,116.0,36.0,68.0,1
5,482.0,937.0,77.0,84.0,1
6,156.0,578.0,116.0,88.0,1
7,638.0,644.0,48.0,41.0,1
8,0.0,182.0,82.0,81.0,1
9,685.0,939.0,58.0,85.0,1
10,354.0,849.0,88.0,87.0,1
11,171.0,887.0,173.0,85.0,1
12,425.0,18.0,213.0,80.0,1
13,242.0,723.0,68.0,64.0,1
14,132.0,200.0,307.0,298.0,1
15,872.0,197.0,107.0,54.0,1
16,264.0,578.0,104.0,73.0,1
17,891.0,269.0,95.0,138.0,1
18,973.0,223.0,46.0,61.0,1
19,214.0,685.0,66.0,53.0,1
20,762.0,660.0,159.0,95.0,1
21,17.0,783.0,77.0,38.0,1
22,843.0,835.0,146.0,60.0,1
23,962.0,680.0,62.0,88.0,1
24,257.0,834.0,96.0,49.0,1
25,837.0,975.0,70.0,49.0,1
26,12.0,335.0,105.0,78.0,1
27,897.0,895.0,43.0,34.0,1
28,821.0,217.0,65.0,82.0,1
29,753.0,0.0,57.0,40.0,1
30,615.0,102.0,132.0,79.0,1
31,927.0,22.0,97.0,119.0,1
32,0.0,920.0,71.0,104.0,1
33,267.0,972.0,84.0,51.0,1
34,563.0,216.0,154.0,115.0,1
35,620.0,167.0,59.0,61.0,1
36,379.0,931.0,67.0,62.0,1
37,385.0,776.0,73.0,69.0,1
38,0.0,0.0,62.0,125.0,1
39,802.0,309.0,222.0,67.0,1
40,127.0,841.0,108.0,97.0,1
41,750.0,980.0,71.0,44.0,1
42,111.0,958.0,31.0,56.0,1
