#item,x,y,width,height,label
0,464.0,822.0,65.0,77.0,1
1,535.0,916.0,112.0,70.0,1
2,923.0,591.0,93.0,84.0,1
3,321.0,968.0,87.0,56.0,1
4,838.0,31.0,186.0,61.0,1
5,451.0,154.0,86.0,44.0,1
6,238.0,858.0,78.0,102.0,1
7,314.0,198.0,81.0,55.0,1
8,456.0,185.0,49.0,64.0,1
9,82.0,843.0,71.0,69.0,1
10,533.0,7.0,62.0,75.0,1
11,674.0,51.0,109.0,137.0,1
12,913.0,78.0,111.0,75.0,1
13,918.0,840.0,75.0,61.0,1
14,339.0,41.0,86.0,79.0,1
15,268.0,717.0,117.0,85.0,1
16,82.0,494.0,93.0,78.0,1
17,504.0,342.0,79.0,57.0,1
18,735.0,829.0,75.0,64.0,1
19,714.0,948.0,99.0,69.0,1
20,897.0,0.0,73.0,45.0,1
21,183.0,702.0,135.0,68.0,1
22,228.0,391.0,82.0,58.0,1
23,530.0,692.0,71.0,99.0,1
24,904.0,360.0,119.0,69.0,1
25,340.0,926.0,145.0,98.0,1
26,74.0,302.0,72.0,68.0,1
27,557.0,841.0,77.0,67.0,1
28,413.0,915.0,80.0,49.0,1
29,238.0,306.0,94.0,61.0,1
30,389.0,666.0,93.0,59.0,1
31,178.0,456.0,71.0,77.0,1
32,441.0,748.0,88.0,78.0,1
33,15.0,262.0,66.0,62.0,1
34,16.0,661.0,102.0,87.0,1
35,512.0,253.0,97.0,64.0,1
36,0.0,967.0,105.0,57.0,1
37,832.0,234.0,53.0,105.0,1
38,796.0,97.0,148.0,72.0,1
39,1.0,706.0,45.0,82.0,1
40,691.0,649.0,124.0,93.0,1
41,855.0,765.0,120.0,83.0,1
42,201.0,216.0,100.0,68.0,1
43,174.0,347.0,86.0,76.0,1
44,64.0,757.0,90.0,73.0,1
45,414.0,497.0,60.0,77.0,1
46,279.0,451.0,63.0,90.0,1
47,340.0,421.0,103.0,64.0,1
48,862.0,869.0,80.0,90.0,1
49,14.0,183.0,56.0,53.0,1
50,159.0,877.0,90.0,86.0,1
51,12.0,350.0,82.0,57.0,1
