#item,x,y,width,height,label
0,628.0,24.0,34.0,56.0,1
1,759.0,769.0,41.0,37.0,1
2,426.0,653.0,48.0,49.0,1
3,766.0,208.0,53.0,38.0,1
4,657.0,546.0,58.0,58.0,1
5,243.0,174.0,52.0,60.0,1
6,64.0,453.0,53.0,81.0,1
7,622.0,698.0,53.0,50.0,1
8,904.0,649.0,45.0,66.0,1
9,564.0,396.0,71.0,97.0,1
10,236.0,960.0,63.0,52.0,1
11,813.0,587.0,29.0,41.0,1
12,713.0,401.0,36.0,76.0,1
13,773.0,496.0,47.0,68.0,1
14,154.0,0.0,53.0,26.0,1
15,880.0,411.0,38.0,67.0,1
16,103.0,119.0,35.0,74.0,1
17,685.0,745.0,54.0,31.0,1
18,652.0,967.0,55.0,56.0,1
19,732.0,412.0,21.0,49.0,1
20,480.0,92.0,50.0,73.0,1
21,946.0,38.0,78.0,72.0,1
22,123.0,596.0,44.0,59.0,1
23,171.0,984.0,38.0,32.0,1
24,838.0,577.0,46.0,68.0,1
25,295.0,946.0,42.0,64.0,1
26,249.0,631.0,57.0,50.0,1
27,458.0,940.0,41.0,84.0,1
28,961.0,965.0,41.0,59.0,1
29,627.0,326.0,39.0,156.0,1
30,855.0,434.0,61.0,108.0,1
31,75.0,498.0,56.0,63.0,1
