#item,x,y,width,height,label
0,563.0,564.0,124.0,104.0,1
1,69.0,0.0,114.0,75.0,1
2,760.0,843.0,133.0,106.0,1
3,931.0,162.0,93.0,67.0,1
4,900.0,675.0,124.0,140.0,1
5,201.0,143.0,59.0,53.0,1
6,617.0,216.0,95.0,74.0,1
7,665.0,395.0,88.0,90.0,1
8,658.0,713.0,87.0,75.0,1
9,395.0,676.0,184.0,278.0,1
10,247.0,201.0,117.0,67.0,1
11,822.0,11.0,133.0,77.0,1
12,550.0,106.0,124.0,61.0,1
13,200.0,91.0,108.0,99.0,1
14,595.0,0.0,69.0,47.0,1
15,787.0,111.0,71.0,89.0,1
16,842.0,976.0,101.0,47.0,1
17,0.0,738.0,100.0,65.0,1
18,1.0,69.0,63.0,87.0,1
19,219.0,403.0,95.0,107.0,1
20,453.0,180.0,64.0,88.0,1
21,991.0,535.0,33.0,108.0,1
22,846.0,247.0,92.0,76.0,1
23,428.0,567.0,128.0,91.0,1
24,359.0,356.0,129.0,184.0,1
25,122.0,587.0,73.0,112.0,1
26,297.0,853.0,70.0,171.0,1
27,98.0,315.0,95.0,76.0,1
28,320.0,6.0,94.0,97.0,1
