#item,x,y,width,height,label
0,202.0,523.0,92.0,158.0,1
1,862.0,171.0,61.0,89.0,1
2,0.0,832.0,69.0,92.0,1
3,951.0,882.0,73.0,142.0,1
4,757.0,531.0,118.0,63.0,1
5,0.0,426.0,118.0,90.0,1
6,283.0,204.0,115.0,119.0,1
7,546.0,969.0,81.0,54.0,1
8,761.0,219.0,76.0,152.0,1
9,1.0,49.0,128.0,171.0,1
10,257.0,594.0,158.0,101.0,1
11,253.0,44.0,105.0,75.0,1
12,0.0,727.0,100.0,61.0,1
13,843.0,456.0,60.0,66.0,1
14,870.0,91.0,63.0,83.0,1
15,501.0,332.0,92.0,127.0,1
16,951.0,180.0,73.0,71.0,1
17,75.0,391.0,119.0,56.0,1
18,311.0,139.0,192.0,91.0,1
19,755.0,593.0,77.0,133.0,1
20,811.0,243.0,47.0,124.0,1
21,83.0,155.0,189.0,96.0,1
22,820.0,709.0,121.0,81.0,1
23,0.0,612.0,61.0,94.0,1
24,750.0,980.0,61.0,44.0,1
25,73.0,831.0,119.0,128.0,1
26,729.0,1.0,71.0,126.0,1
27,355.0,818.0,83.0,73.0,1
