#item,x,y,width,height,label
0,172.0,781.0,77.0,79.0,1
1,334.0,785.0,112.0,130.0,1
2,900.0,467.0,61.0,53.0,1
3,464.0,446.0,106.0,107.0,1
4,609.0,759.0,127.0,81.0,1
5,953.0,963.0,51.0,61.0,1
6,348.0,866.0,64.0,64.0,1
7,796.0,189.0,73.0,77.0,1
8,459.0,227.0,83.0,63.0,1
9,736.0,101.0,44.0,57.0,1
10,271.0,435.0,75.0,84.0,1
11,757.0,310.0,178.0,92.0,1
12,23.0,922.0,149.0,81.0,1
13,628.0,605.0,93.0,75.0,1
14,955.0,756.0,69.0,98.0,1
15,653.0,968.0,109.0,56.0,1
16,691.0,713.0,97.0,74.0,1
17,790.0,837.0,102.0,146.0,1
18,945.0,387.0,79.0,76.0,1
19,638.0,45.0,96.0,79.0,1
20,965.0,128.0,59.0,82.0,1
21,31.0,325.0,71.0,67.0,1
22,582.0,380.0,83.0,75.0,1
23,535.0,453.0,107.0,84.0,1
24,684.0,75.0,65.0,66.0,1
25,520.0,267.0,132.0,88.0,1
26,10.0,398.0,78.0,70.0,1
27,43.0,770.0,61.0,67.0,1
28,849.0,412.0,48.0,64.0,1
29,560.0,118.0,84.0,65.0,1
30,0.0,555.0,47.0,57.0,1
31,74.0,236.0,119.0,75.0,1
32,494.0,648.0,110.0,69.0,1
33,173.0,275.0,80.0,67.0,1
34,327.0,656.0,108.0,78.0,1
35,501.0,785.0,70.0,78.0,1
36,727.0,171.0,47.0,51.0,1
37,756.0,543.0,106.0,79.0,1
38,358.0,542.0,83.0,124.0,1
39,921.0,313.0,103.0,61.0,1
40,208.0,366.0,108.0,75.0,1
41,454.0,298.0,85.0,65.0,1
42,0.0,458.0,53.0,67.0,1
43,32.0,969.0,59.0,55.0,1
44,155.0,439.0,98.0,112.0,1
45,946.0,468.0,77.0,76.0,1
46,412.0,196.0,63.0,50.0,1
47,862.0,606.0,83.0,79.0,1
