#item,x,y,width,height,label
0,877.0,699.0,60.0,71.0,1
1,601.0,778.0,78.0,60.0,1
2,271.0,492.0,71.0,60.0,1
3,377.0,473.0,70.0,73.0,1
4,504.0,593.0,67.0,63.0,1
5,727.0,984.0,62.0,40.0,1
6,384.0,139.0,83.0,156.0,1
7,40.0,828.0,82.0,54.0,1
8,634.0,499.0,64.0,60.0,1
9,623.0,871.0,65.0,55.0,1
10,818.0,505.0,64.0,69.0,1
11,171.0,0.0,91.0,68.0,1
12,185.0,435.0,71.0,68.0,1
13,650.0,337.0,60.0,65.0,1
14,867.0,129.0,62.0,129.0,1
15,193.0,467.0,68.0,53.0,1
16,590.0,433.0,71.0,91.0,1
17,395.0,402.0,73.0,51.0,1
18,789.0,460.0,77.0,55.0,1
19,497.0,763.0,77.0,91.0,1
20,228.0,837.0,62.0,51.0,1
21,0.0,396.0,79.0,63.0,1
22,234.0,571.0,99.0,50.0,1
23,359.0,701.0,92.0,67.0,1
24,755.0,380.0,49.0,56.0,1
25,284.0,320.0,92.0,73.0,1
26,942.0,695.0,67.0,85.0,1
27,956.0,408.0,46.0,65.0,1
28,10.0,529.0,84.0,71.0,1
29,29.0,0.0,93.0,53.0,1
30,382.0,785.0,84.0,53.0,1
31,740.0,698.0,56.0,74.0,1
32,958.0,570.0,45.0,55.0,1
33,672.0,399.0,60.0,60.0,1
34,875.0,866.0,52.0,48.0,1
35,157.0,799.0,73.0,55.0,1
36,243.0,0.0,63.0,59.0,1
37,718.0,777.0,75.0,57.0,1
38,0.0,896.0,59.0,54.0,1
39,942.0,972.0,66.0,52.0,1
40,699.0,916.0,59.0,58.0,1
41,922.0,302.0,69.0,64.0,1
42,971.0,273.0,53.0,77.0,1
43,597.0,703.0,69.0,77.0,1
44,503.0,393.0,72.0,65.0,1
45,765.0,981.0,90.0,43.0,1
46,148.0,194.0,43.0,30.0,1
47,460.0,505.0,60.0,60.0,1
48,66.0,441.0,69.0,68.0,1
49,717.0,30.0,61.0,67.0,1
50,230.0,941.0,80.0,56.0,1
51,888.0,316.0,42.0,54.0,1
52,78.0,929.0,71.0,45.0,1
53,505.0,460.0,66.0,63.0,1
54,155.0,354.0,89.0,54.0,1
55,210.0,630.0,76.0,42.0,1
56,497.0,343.0,70.0,68.0,1
57,18.0,761.0,93.0,67.0,1
58,280.0,897.0,59.0,58.0,1
59,907.0,773.0,52.0,52.0,1
60,914.0,215.0,53.0,79.0,1
61,754.0,272.0,72.0,63.0,1
62,762.0,598.0,61.0,73.0,1
