#item,x,y,width,height,label
0,211.0,0.0,98.0,102.0,1
1,112.0,442.0,85.0,113.0,1
2,880.0,570.0,132.0,85.0,1
3,106.0,295.0,156.0,93.0,1
4,592.0,190.0,120.0,79.0,1
5,366.0,937.0,112.0,87.0,1
6,143.0,951.0,103.0,73.0,1
7,537.0,454.0,98.0,75.0,1
8,417.0,988.0,122.0,36.0,1
9,527.0,305.0,110.0,85.0,1
10,104.0,763.0,110.0,103.0,1
11,357.0,9.0,113.0,110.0,1
12,295.0,134.0,163.0,94.0,1
13,1.0,641.0,69.0,143.0,1
14,518.0,527.0,110.0,117.0,1
15,618.0,84.0,80.0,71.0,1
16,708.0,995.0,73.0,29.0,1
17,273.0,277.0,122.0,61.0,1
18,691.0,0.0,96.0,43.0,1
19,927.0,7.0,92.0,128.0,1
20,130.0,598.0,114.0,138.0,1
21,2.0,51.0,82.0,84.0,1
22,527.0,620.0,83.0,92.0,1
23,787.0,662.0,120.0,171.0,1
24,722.0,167.0,104.0,57.0,1
