#item,x,y,width,height,label
0,985.0,62.0,37.0,44.0,1
1,14.0,797.0,47.0,53.0,1
2,529.0,219.0,44.0,31.0,1
3,157.0,852.0,43.0,49.0,1
4,665.0,257.0,37.0,48.0,1
5,416.0,47.0,48.0,34.0,1
6,793.0,872.0,32.0,63.0,1
7,166.0,902.0,38.0,35.0,1
8,395.0,176.0,44.0,29.0,1
9,248.0,57.0,53.0,41.0,1
10,712.0,965.0,30.0,47.0,1
11,479.0,800.0,52.0,54.0,1
12,352.0,357.0,27.0,57.0,1
13,11.0,110.0,45.0,47.0,1
14,419.0,669.0,40.0,33.0,1
15,46.0,242.0,47.0,33.0,1
16,226.0,128.0,41.0,32.0,1
17,170.0,305.0,35.0,46.0,1
18,779.0,936.0,28.0,47.0,1
19,595.0,768.0,39.0,44.0,1
20,58.0,940.0,50.0,84.0,1
21,518.0,378.0,25.0,53.0,1
22,250.0,256.0,42.0,30.0,1
23,323.0,70.0,54.0,31.0,1
24,673.0,582.0,33.0,45.0,1
25,619.0,948.0,28.0,63.0,1
26,311.0,415.0,41.0,66.0,1
27,557.0,697.0,33.0,30.0,1
28,445.0,831.0,45.0,49.0,1
29,411.0,850.0,34.0,48.0,1
30,512.0,250.0,55.0,38.0,1
31,821.0,893.0,34.0,62.0,1
32,879.0,819.0,52.0,87.0,1
33,0.0,655.0,48.0,50.0,1
34,240.0,152.0,47.0,26.0,1
35,2.0,851.0,29.0,52.0,1
36,62.0,862.0,44.0,60.0,1
37,177.0,181.0,39.0,35.0,1
38,743.0,848.0,34.0,79.0,1
39,928.0,583.0,41.0,48.0,1
40,332.0,131.0,39.0,29.0,1
41,490.0,169.0,41.0,44.0,1
42,136.0,33.0,58.0,34.0,1
43,52.0,302.0,58.0,43.0,1
44,857.0,649.0,36.0,55.0,1
45,685.0,105.0,36.0,44.0,1
46,903.0,214.0,73.0,48.0,1
47,29.0,218.0,57.0,24.0,1
48,987.0,912.0,36.0,75.0,1
