#item,x,y,width,height,label
0,598.0,6.0,54.0,48.0,1
1,591.0,617.0,78.0,64.0,1
2,907.0,899.0,72.0,52.0,1
3,296.0,94.0,61.0,59.0,1
4,0.0,458.0,61.0,64.0,1
5,669.0,863.0,55.0,70.0,1
6,291.0,32.0,56.0,61.0,1
7,70.0,708.0,78.0,57.0,1
8,467.0,961.0,73.0,57.0,1
9,537.0,453.0,61.0,56.0,1
10,768.0,894.0,42.0,37.0,1
11,890.0,92.0,62.0,49.0,1
12,168.0,712.0,79.0,51.0,1
13,258.0,922.0,36.0,40.0,1
14,273.0,492.0,86.0,64.0,1
15,882.0,520.0,52.0,46.0,1
16,325.0,55.0,77.0,60.0,1
17,884.0,956.0,72.0,45.0,1
18,6.0,568.0,69.0,63.0,1
19,505.0,825.0,58.0,39.0,1
20,97.0,925.0,70.0,43.0,1
21,497.0,582.0,55.0,34.0,1
22,458.0,174.0,75.0,71.0,1
23,751.0,39.0,78.0,50.0,1
24,934.0,51.0,86.0,65.0,1
25,326.0,604.0,121.0,83.0,1
26,0.0,0.0,47.0,78.0,1
27,64.0,806.0,36.0,61.0,1
28,697.0,604.0,82.0,92.0,1
29,398.0,2.0,65.0,47.0,1
30,675.0,968.0,110.0,56.0,1
31,186.0,642.0,90.0,59.0,1
32,610.0,961.0,66.0,63.0,1
33,976.0,109.0,48.0,88.0,1
34,337.0,545.0,52.0,66.0,1
35,136.0,37.0,85.0,51.0,1
36,19.0,626.0,78.0,72.0,1
37,848.0,38.0,101.0,60.0,1
38,594.0,550.0,72.0,55.0,1
39,728.0,0.0,52.0,39.0,1
40,780.0,109.0,74.0,86.0,1
41,391.0,68.0,50.0,63.0,1
42,630.0,183.0,133.0,78.0,1
43,449.0,78.0,43.0,61.0,1
44,901.0,439.0,64.0,55.0,1
45,213.0,464.0,78.0,74.0,1
46,810.0,987.0,65.0,36.0,1
47,486.0,536.0,57.0,46.0,1
48,200.0,574.0,64.0,48.0,1
49,471.0,927.0,64.0,41.0,1
50,247.0,972.0,70.0,52.0,1
51,347.0,6.0,72.0,72.0,1
