#item,x,y,width,height,label
0,788.0,320.0,59.0,63.0,1
1,505.0,758.0,53.0,57.0,1
2,810.0,853.0,76.0,52.0,1
3,723.0,269.0,55.0,85.0,1
4,404.0,267.0,56.0,49.0,1
5,521.0,657.0,46.0,62.0,1
6,373.0,720.0,40.0,77.0,1
7,536.0,533.0,57.0,75.0,1
8,547.0,197.0,50.0,62.0,1
9,580.0,98.0,59.0,57.0,1
10,338.0,973.0,58.0,51.0,1
11,468.0,312.0,58.0,54.0,1
12,370.0,845.0,61.0,61.0,1
13,754.0,63.0,87.0,49.0,1
14,887.0,23.0,78.0,70.0,1
15,674.0,555.0,66.0,53.0,1
16,713.0,607.0,59.0,76.0,1
17,335.0,0.0,87.0,33.0,1
18,456.0,427.0,58.0,63.0,1
19,467.0,828.0,43.0,109.0,1
