#item,x,y,width,height,label
0,947.0,514.0,70.0,112.0,1
1,813.0,902.0,90.0,104.0,1
2,44.0,572.0,86.0,44.0,1
3,677.0,439.0,79.0,179.0,1
4,37.0,905.0,86.0,119.0,1
5,510.0,827.0,75.0,73.0,1
6,429.0,649.0,176.0,152.0,1
7,903.0,756.0,107.0,104.0,1
8,807.0,6.0,158.0,141.0,1
9,254.0,564.0,84.0,63.0,1
10,819.0,572.0,106.0,99.0,1
11,236.0,666.0,75.0,68.0,1
12,911.0,603.0,66.0,89.0,1
13,569.0,25.0,112.0,93.0,1
14,60.0,637.0,85.0,77.0,1
15,104.0,789.0,233.0,82.0,1
16,807.0,332.0,106.0,136.0,1
17,870.0,843.0,66.0,65.0,1
18,0.0,449.0,114.0,92.0,1
19,519.0,163.0,128.0,106.0,1
20,886.0,100.0,120.0,112.0,1
21,104.0,380.0,135.0,104.0,1
22,2.0,133.0,134.0,88.0,1
23,304.0,746.0,77.0,71.0,1
24,795.0,687.0,132.0,74.0,1
25,48.0,257.0,132.0,92.0,1
26,976.0,419.0,48.0,102.0,1
