#item,x,y,width,height,label
0,634.0,2.0,70.0,82.0,1
1,912.0,95.0,101.0,92.0,1
2,486.0,222.0,82.0,105.0,1
3,381.0,721.0,81.0,72.0,1
4,710.0,401.0,57.0,59.0,1
5,335.0,128.0,89.0,87.0,1
6,176.0,524.0,76.0,64.0,1
7,505.0,590.0,59.0,100.0,1
8,666.0,323.0,156.0,79.0,1
9,360.0,421.0,79.0,85.0,1
10,797.0,678.0,65.0,74.0,1
11,684.0,3.0,80.0,74.0,1
12,829.0,264.0,72.0,66.0,1
13,401.0,10.0,75.0,71.0,1
14,607.0,97.0,68.0,74.0,1
15,846.0,775.0,79.0,82.0,1
16,325.0,450.0,55.0,87.0,1
17,568.0,669.0,49.0,68.0,1
18,693.0,968.0,52.0,56.0,1
19,862.0,174.0,74.0,69.0,1
20,732.0,450.0,120.0,69.0,1
