#item,x,y,width,height,label
0,293.0,116.0,82.0,75.0,1
1,399.0,933.0,44.0,91.0,1
2,374.0,110.0,93.0,81.0,1
3,335.0,526.0,56.0,58.0,1
4,601.0,156.0,66.0,64.0,1
5,695.0,959.0,112.0,47.0,1
6,423.0,202.0,81.0,88.0,1
7,315.0,374.0,71.0,106.0,1
8,495.0,487.0,84.0,76.0,1
9,431.0,280.0,79.0,105.0,1
10,558.0,189.0,70.0,92.0,1
11,577.0,926.0,49.0,60.0,1
12,578.0,816.0,62.0,86.0,1
13,498.0,0.0,62.0,56.0,1
14,695.0,786.0,57.0,67.0,1
15,632.0,425.0,67.0,94.0,1
16,722.0,848.0,78.0,99.0,1
17,265.0,42.0,67.0,90.0,1
18,624.0,872.0,80.0,75.0,1
19,538.0,598.0,83.0,70.0,1
20,700.0,643.0,79.0,47.0,1
21,542.0,973.0,72.0,51.0,1
22,439.0,839.0,54.0,84.0,1
23,628.0,87.0,101.0,71.0,1
24,531.0,174.0,79.0,70.0,1
